_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
05 03 18.5300,+08 43 50.500,,J050318.5+084350,05 03 18.53,+08 43 50.5,17.7,,,0,CSS100108:050319+084350,,Simbad,172
05 05 26.8400,+08 34 14.500,,J050526.8+083415,05 05 26.84,+08 34 14.5,15.8,,18.1,1,CSS100321:050527+083415,II,Simbad,173
05 06 59.2400,-16 59 32.000,,J050659.2-165932,05 06 59.24,-16 59 32.0,14.5,,18.7,2,CSS090220:050659-165932,,Simbad,174
05 07 16.2300,+12 53 14.200,,J050716.2+125314,05 07 16.23,+12 53 14.2,16.4,,19.9,8,CSS081221:050716+125314,,Simbad,175
05 08 47.5600,-09 34 47.000,,J050847.6-093447,05 08 47.56,-09 34 47.0,,,,1,CSS101211:050848-093447,,Simbad,176
05 11 20.9400,+11 34 43.300,,J051120.9+113443,05 11 20.94,+11 34 43.3,17.1,,21.7,2,CSS111118:051121+113443,,Simbad,177
05 14 19.8700,+01 11 20.900,,J051419.9+011121,05 14 19.87,+01 11 20.9,15.5,,19.5,1,CSS091109:051420+011121,,Simbad,178
05 14 57.7400,+08 35 02.900,,J051457.7+083503,05 14 57.74,+08 35 02.9,14.0,,18.4,2,CSS101128:051458+083503,,Simbad,179
05 18 14.5300,-02 45 02.800,,J051814.5-024503,05 18 14.53,-02 45 02.8,15.2,,17.0,1,CSS090219:051815-024503,,Simbad,180
05 19 22.9100,+15 54 35.000,X,J051922.9+155435,05 19 22.91,+15 54 35.0,14.3,,17.1,1,CSS111118:051923+155435,,Simbad,181
05 20 33.8500,-00 05 30.100,,J052033.9-000530,05 20 33.85,-00 05 30.1,16.8,,19.4,1,CSS080207:052034-000530,,Simbad,182
05 20 35.0100,-08 58 14.500,,J052035.0-085814,05 20 35.01,-08 58 14.5,18.0,,,2,CSS081027:052035-085814,,Simbad,183
05 22 09.6700,-35 05 30.300,,J052209.7-350530,05 22 09.67,-35 05 30.3,16.2,,18.8,1,SSS111126:052210-350530,,Simbad,184
05 23 51.7700,+01 00 30.600,,J052351.8+010031,05 23 51.77,+01 00 30.6,14.0,,16.4,1,BI Ori,,Simbad,185
05 24 33.4700,-07 05 27.700,,J052433.5-070528,05 24 33.47,-07 05 27.7,17.3,>,21.3,1,CSS101108:052433-070528,,Simbad,186
05 25 20.1400,-03 02 51.300,,J052520.1-030251,05 25 20.14,-03 02 51.3,17.6,,,1,CSS101130:052520-030251,,Simbad,187
05 25 21.9500,-10 50 14.800,,J052521.9-105015,05 25 21.95,-10 50 14.8,16.2,,,1,CSS081207:052522-105015,,Simbad,188
05 27 46.4100,-13 52 56.000,,J052746.4-135256,05 27 46.41,-13 52 56.0,18.0,,,1,CSS090922:052746-135256,,Simbad,189
05 30 12.2800,-28 50 22.300,,J053012.3-285022,05 30 12.28,-28 50 22.3,14.5,,18.8,2,SSS110123:053012-285022,,Simbad,190
05 30 41.9600,+14 18 26.100,,J053042.0+141826,05 30 41.96,+14 18 26.1,16.6,,20.0,1,CSS111023:053042+141826,,Simbad,191
05 30 54.5900,-33 57 30.200,X,J053054.6-335730,05 30 54.59,-33 57 30.2,16.8,>,20.2,1,SSS110905:053055-335730,,Simbad,192
05 33 55.6800,-20 47 19.600,,J053355.7-204720,05 33 55.68,-20 47 19.6,17.4,,,1,CSS101214:053356-204720,,Simbad,193
05 35 35.0300,-53 48 32.600,,J053535.0-534833,05 35 35.03,-53 48 32.6,16.2,,20.1,2,SSS110131:053535-534833,,Simbad,194
05 35 41.8100,-11 37 16.800,,J053541.8-113717,05 35 41.81,-11 37 16.8,16.0,,19.6,1,CSS091118:053542-113717,,Simbad,195
05 41 18.8700,-35 24 14.800,,J054118.9-352415,05 41 18.87,-35 24 14.8,13.9,,17.6,2,SSS110222:054119-352415,,Simbad,196
05 41 35.0000,+01 37 08.000,,J054135.0+013708,05 41 35.00,+01 37 08.0,15.3,,,1,CSS111003:054135+013708,,Simbad,197
05 43 01.2900,-16 40 11.400,,J054301.3-164011,05 43 01.29,-16 40 11.4,14.7,,18.6,6,CSS091118:054301-164011,,Simbad,198
05 43 33.5200,-35 17 33.800,,J054333.5-351734,05 43 33.52,-35 17 33.8,14.7,,18.6,2,SSS110126:054334-351734,,Simbad,199
05 45 58.2600,+02 21 06.400,,J054558.3+022106,05 45 58.26,+02 21 06.4,14.6,,16.4,1,PN Te_11,III,Simbad,200
05 47 12.1500,-17 42 23.400,,J054712.1-174223,05 47 12.15,-17 42 23.4,18.1,>,20.7,2,CSS101214:054712-174223,,Simbad,201
05 47 38.3300,-49 05 18.700,,J054738.3-490519,05 47 38.33,-49 05 18.7,16.3,,,1,SSS120429:054738-490519,,Simbad,202
05 49 32.1600,-21 55 29.300,,J054932.2-215529,05 49 32.16,-21 55 29.3,17.0,>,20.8,1,SSS110324:054932-215529,,Simbad,203
05 49 45.3800,-49 21 56.100,,J054945.4-492156,05 49 45.38,-49 21 56.1,13.2,,17.0,1,AR Pic,,Simbad,204
05 53 49.1800,-52 50 45.400,,J055349.2-525045,05 53 49.18,-52 50 45.4,16.8,,,1,SSS111213:055349-525045,,Simbad,205
05 57 21.8200,-36 30 55.400,,J055721.8-363055,05 57 21.82,-36 30 55.4,14.8,>,20.8,1,SSS111229:055722-363055,,Simbad,206
05 57 28.6200,-13 43 04.700,,J055728.6-134305,05 57 28.62,-13 43 04.7,16.7,,,3,CSS120222:055729-134305,,Simbad,207
05 57 30.0600,+00 15 13.800,,J055730.1+001514,05 57 30.06,+00 15 13.8,18.4,,,1,CSS080307:055730+001514,,Simbad,208
05 58 42.7800,+00 06 26.000,,J055842.8+000626,05 58 42.78,+00 06 26.0,15.4,,18.3,2,CSS100114:055843+000626,II,Simbad,209
05 59 35.4100,-08 10 55.100,,J055935.4-081055,05 59 35.41,-08 10 55.1,16.8,,,1,CSS120102:055935-081055,,Simbad,210
06 00 30.9700,-10 52 08.000,,J060031.0-105208,06 00 30.97,-10 52 08.0,19.1,,,1,CSS071206:060031-105208,,Simbad,211
06 00 37.5900,-08 09 44.800,,J060037.6-080945,06 00 37.59,-08 09 44.8,15.8,,19.5,2,CSS080207:060038-080945,,Simbad,212
06 01 49.4000,-51 07 40.900,,J060149.4-510741,06 01 49.40,-51 07 40.9,15.9,,,2,SSS110428:060149-510741,,Simbad,213
06 05 28.2800,-30 05 28.500,,J060528.3-300529,06 05 28.28,-30 05 28.5,18.4,,,1,SSS110306:060528-300529,,Simbad,214
06 10 25.5500,-16 28 59.000,,J061025.6-162859,06 10 25.55,-16 28 59.0,16.7,,19.0,3,CSS110207:061026-162859,,Simbad,215
06 15 12.9200,-23 51 30.700,,J061512.9-235131,06 15 12.92,-23 51 30.7,15.7,,19.9,1,SSS110424:061513-235131,,Simbad,216
06 17 53.8700,-36 26 54.600,,J061753.9-362655,06 17 53.87,-36 26 54.6,14.3,,17.7,2,SSS100511:061754-362655,,Simbad,217
06 17 56.5800,-25 45 04.300,,J061756.6-254504,06 17 56.58,-25 45 04.3,16.4,,,1,SSS110328:061757-254504,,Simbad,218
06 34 37.9200,+41 20 46.600,,J063437.9+412047,06 34 37.92,+41 20 46.6,15.8,,,1,CSS091026:063438+412047,,Simbad,219
06 36 44.8700,-18 25 30.700,,J063644.9-182531,06 36 44.87,-18 25 30.7,17.3,,,1,SSS120411:063645-182531,,Simbad,220
06 37 54.6700,-57 02 40.700,,J063754.7-570241,06 37 54.67,-57 02 40.7,14.3,,,1,SSS110307:063755-570241,,Simbad,221
06 38 20.7400,-34 13 33.400,,J063820.7-341333,06 38 20.74,-34 13 33.4,16.3,,,1,SSS120119:063821-341333,,Simbad,222
06 43 51.7600,-41 52 51.500,,J064351.8-415251,06 43 51.76,-41 52 51.5,16.0,,,1,SSS120420:064352-415251,,Simbad,223
06 44 07.5500,-43 00 18.200,,J064407.5-430018,06 44 07.55,-43 00 18.2,17.8,,,1,SSS120420:064408-430018,,Simbad,224
06 46 08.2300,+40 33 05.100,,J064608.2+403305,06 46 08.23,+40 33 05.1,16.2,,,2,CSS080512:064608+403305,,Simbad,225
06 46 58.6700,+48 30 51.100,,J064658.7+483051,06 46 58.67,+48 30 51.1,16.5,,19.4,1,CSS090426:064659+483051,,Simbad,226
06 47 29.2900,+49 50 27.300,,J064729.3+495027,06 47 29.29,+49 50 27.3,13.3,,16.4,1,CSS091029:064729+495027,II,Simbad,227
06 48 04.5100,+41 47 01.800,,J064804.5+414702,06 48 04.51,+41 47 01.8,15.9,>,19.8,2,CSS091026:064805+414702,,Simbad,228
06 49 34.7200,-29 43 30.900,,J064934.7-294331,06 49 34.72,-29 43 30.9,16.9,,,1,SSS120516:064935-294331,,Simbad,229
06 50 36.6100,+41 30 53.100,,J065036.6+413053,06 50 36.61,+41 30 53.1,16.5,,18.6,1,CSS110413:065037+413053,II,Simbad,230
06 51 28.5200,-41 09 18.500,X,J065128.5-410918,06 51 28.52,-41 09 18.5,14.2,,18.5,1,SSS111223:065129-410919,,Simbad,231
06 51 45.9300,-42 13 24.800,,J065145.9-421325,06 51 45.93,-42 13 24.8,16.0,,,1,SSS120318:065146-421325,,Simbad,232
06 54 33.2500,-28 38 47.700,,J065433.3-283848,06 54 33.25,-28 38 47.7,16.4,>,19.8,1,SSS120516:065433-283848,,Simbad,233
06 57 22.0500,-42 12 37.300,,J065722.1-421237,06 57 22.05,-42 12 37.3,16.5,>,21.9,1,SSS120318:065722-421237,,Simbad,234
07 04 20.8900,-52 02 08.800,,J070420.9-520209,07 04 20.89,-52 02 08.8,17.0,,,1,SSS120509:070421-520209,,Simbad,235
07 05 01.0600,+37 25 05.200,,J070501.1+372505,07 05 01.06,+37 25 05.2,18.0,,,1,CSS080309:070501+372505,,Simbad,236
07 11 25.9900,+44 04 05.000,,J071126.0+440405,07 11 25.99,+44 04 05.0,14.6,,17.3,7,CSS081231:071126+440405,,Simbad,237
07 13 48.3000,-48 45 10.500,,J071348.3-484511,07 13 48.30,-48 45 10.5,17.8,,,2,SSS101212:071348-484511,,Simbad,238
07 16 47.6600,+35 43 15.700,,J071647.7+354316,07 16 47.66,+35 43 15.7,17.0,,,2,CSS081002:071648+354316,,Simbad,239
07 19 20.5800,+35 21 11.500,,J071920.6+352111,07 19 20.58,+35 21 11.5,17.7,,,2,CSS091111:071921+352111,,Simbad,240
07 19 24.0700,+29 23 42.600,,J071924.1+292343,07 19 24.07,+29 23 42.6,16.8,,21.1,4,CSS090128:071924+292343,,Simbad,241
07 20 01.6200,+52 34 21.200,,J072001.6+523421,07 20 01.62,+52 34 21.2,17.1,,,2,CSS091116:072002+523421,,Simbad,242
07 20 32.6300,+17 24 37.000,,J072032.6+172437,07 20 32.63,+17 24 37.0,18.0,,20.6,4,MLS101226:072033+172437,,Simbad,243
07 21 44.4700,+66 38 38.100,,J072144.5+663838,07 21 44.47,+66 38 38.1,16.6,,18.7,1,CSS111124:072144+663838,,Simbad,244
07 21 46.9500,-52 00 56.400,,J072146.9-520056,07 21 46.95,-52 00 56.4,16.5,,,2,SSS101212:072147-520056,,Simbad,245
07 22 10.6500,+26 02 54.600,,J072210.7+260255,07 22 10.65,+26 02 54.6,16.9,,19.3,3,CSS090128:072211+260255,,Simbad,246
07 22 40.8300,+28 30 16.700,,J072240.8+283017,07 22 40.83,+28 30 16.7,13.2,,18.4,4,AW Gem,,Simbad,247
07 23 01.0000,+25 03 56.600,,J072301.0+250357,07 23 01.00,+25 03 56.6,15.8,,20.9,2,MLS101105:072301+250357,,Simbad,248
07 23 42.5900,+22 00 06.400,,J072342.6+220006,07 23 42.59,+22 00 06.4,16.4,,19.9,1,MLS120328:072343+220006,,Simbad,249
07 26 12.2000,+46 26 04.200,,J072612.2+462604,07 26 12.20,+46 26 04.2,17.2,,,1,CSS110209:072612+462604,,Simbad,250
07 27 52.2300,+40 46 52.500,,J072752.2+404652,07 27 52.23,+40 46 52.5,15.5,,17.1,2,V0496 Aur,,Simbad,251
07 30 55.5300,+42 56 35.500,,J073055.5+425636,07 30 55.53,+42 56 35.5,15.6,,,1,CSS090911:073056+425636,,Simbad,252
07 32 08.1300,+41 30 09.300,,J073208.1+413009,07 32 08.13,+41 30 09.3,15.6,,,1,SDSS J073208.11+413008.7,,Simbad,253
07 33 39.2800,+21 22 01.200,X,J073339.3+212201,07 33 39.28,+21 22 01.2,17.0,,19.4,1,CSS091111:073339+212201,,Simbad,254
07 35 59.9400,+22 01 32.100,,J073559.9+220132,07 35 59.94,+22 01 32.1,18.9,,21.8,1,MLS110305:073600+220132,,Simbad,255
07 37 58.5400,+20 55 44.700,,J073758.5+205545,07 37 58.54,+20 55 44.7,15.7,,19.9,2,SDSS J073758.55+205544.5,,Simbad,256
07 39 21.1600,+22 24 54.000,,J073921.2+222454,07 39 21.16,+22 24 54.0,17.7,,,3,CSS080303:073921+222454,,Simbad,257
07 42 22.5400,+17 28 06.800,,J074222.5+172807,07 42 22.54,+17 28 06.8,18.1,,19.9,1,MLS110309:074223+172807,,Simbad,258
07 44 00.4800,+41 55 03.700,,J074400.5+415504,07 44 00.48,+41 55 03.7,16.5,>,20.4,1,CSS111103:074400+415504,,Simbad,259
07 44 19.6800,+32 54 48.100,,J074419.7+325448,07 44 19.68,+32 54 48.1,17.3,,21.1,2,CSS091029:074420+325448,,Simbad,260
07 46 40.6100,+17 34 12.800,,J074640.6+173412,07 46 40.61,+17 34 12.8,16.3,,,5,SDSS_J074640+173412,,Simbad,261
07 48 19.9500,+24 57 58.700,,J074819.9+245759,07 48 19.95,+24 57 58.7,17.9,>,21.3,1,CSS101115:074820+245759,,Simbad,262
07 49 28.0100,+19 04 52.000,,J074928.0+190452,07 49 28.01,+19 04 52.0,16.8,,20.7,5,CSS090331:074928+190452,,Simbad,263
07 49 48.6400,-56 54 26.100,,J074948.6-565426,07 49 48.64,-56 54 26.1,16.4,,,1,SSS120216:074949-565426,,Simbad,264
07 50 59.9700,+14 11 50.200,,J075060.0+141150,07 50 59.97,+14 11 50.2,16.7,,18.9,1,SDSS J075059.97+141150.1,I,Simbad,265
07 53 31.9800,+37 58 00.600,,J075332.0+375801,07 53 31.98,+37 58 00.6,16.8,,19.6,1,CSS100407:075332+375801,,Simbad,266
07 54 14.4900,+31 32 15.800,,J075414.5+313216,07 54 14.49,+31 32 15.8,14.1,,19.5,1,CSS110414:075414+313216,,Simbad,267
07 56 48.0200,+30 58 05.500,,J075648.0+305805,07 56 48.02,+30 58 05.5,16.6,,20.9,3,CSS080406:075648+305805,I,Simbad,268
07 57 13.8200,+22 22 53.100,,J075713.8+222253,07 57 13.82,+22 22 53.1,17.0,>,21.3,3,SDSS J075713.81+222253.0,,Simbad,269
07 59 59.2700,+21 19 36.300,,J075959.3+211936,07 59 59.27,+21 19 36.3,19.0,,23.0,1,CSS111027:075959+211936,III,Simbad,270
08 00 33.8300,+19 24 16.300,,J080033.8+192416,08 00 33.83,+19 24 16.3,16.0,,18.3,2,SDSS J080033.86+192416.5,,Simbad,271
08 03 04.0000,+25 16 28.200,,J080304.0+251628,08 03 04.00,+25 16 28.2,15.1,,16.3,13,J0803+2516,,Simbad,272
08 03 06.9800,+28 48 56.100,,J080307.0+284856,08 03 06.98,+28 48 56.1,15.7,,20.0,1,SDSS J080306.99+284855.8,,Simbad,273
08 04 28.4300,+36 31 04.200,,J080428.4+363104,08 04 28.43,+36 31 04.2,18.4,>,19.8,1,CSS091116:080428+363104,,Simbad,274
08 05 13.8700,+40 50 24.600,,J080513.9+405025,08 05 13.87,+40 50 24.6,18.8,,,1,CSS081025:080514+405025,,Simbad,275
08 07 29.6900,+15 34 42.000,,J080729.7+153442,08 07 29.69,+15 34 42.0,17.1,>,20.2,1,PTF09bd,,Simbad,276
08 08 46.1900,+31 31 06.100,,J080846.2+313106,08 08 46.19,+31 31 06.1,14.3,,18.5,7,SDSS J080846.19+313106.0,I,Simbad,277
08 08 53.7300,+35 50 53.300,,J080853.7+355053,08 08 53.73,+35 50 53.3,16.2,,,9,CSS080416:080854+355053,IX,Simbad,278
08 09 41.3800,+17 15 28.100,,J080941.4+171528,08 09 41.38,+17 15 28.1,15.8,,20.6,2,CSS120120:080941+171528,,Simbad,279
08 10 30.6100,+00 24 28.600,,J081030.6+002429,08 10 30.61,+00 24 28.6,17.6,,19.5,2,CSS100108:081031+002429,III,Simbad,280
08 10 41.4200,-01 11 23.200,,J081041.4-011123,08 10 41.42,-01 11 23.2,16.4,,,1,CSS111130:081041-011123,,Simbad,281
08 11 17.1300,+15 20 02.900,,J081117.1+152003,08 11 17.13,+15 20 02.9,14.6,>,22.0,1,CSS111030:081117+152003,,Simbad,282
08 12 07.6400,+13 18 24.700,,J081207.6+131825,08 12 07.64,+13 18 24.7,14.4,,19.2,3,SDSS J081207.63+131824.4,I,Simbad,283
08 12 10.2400,+04 03 51.800,,J081210.2+040352,08 12 10.24,+04 03 51.8,17.9,,,17,CSS091017:081210+040352,,Simbad,284
08 12 36.5500,+16 19 45.500,,J081236.6+161946,08 12 36.55,+16 19 45.5,17.5,>,22.7,1,CSS120210:081237+161946,,Simbad,285
08 14 14.9200,+08 04 50.200,,J081414.9+080450,08 14 14.92,+08 04 50.2,18.3,,,2,CSS080202:081415+080450,,Simbad,286
08 14 18.9100,-00 50 22.100,,J081418.9-005022,08 14 18.91,-00 50 22.1,14.5,,18.4,1,CSS080409:081419-005022,II,Simbad,287
08 15 43.1600,-00 42 08.600,,J081543.2-004209,08 15 43.16,-00 42 08.6,17.8,,,1,CSS080417:081543-004209,,Simbad,288
08 16 02.4600,+58 48 24.100,,J081602.5+584824,08 16 02.46,+58 48 24.1,15.4,>,20.1,1,CSS120119:081602+584824,,Simbad,289
08 17 12.2500,+05 52 08.000,,J081712.2+055208,08 17 12.25,+05 52 08.0,16.8,,,3,CSS091215:081712+055208,,Simbad,290
08 18 36.8400,+01 22 07.100,,J081836.8+012207,08 18 36.84,+01 22 07.1,18.4,,,2,CSS100415:081837+012207,,Simbad,291
08 19 36.0600,+19 15 40.100,,J081936.1+191540,08 19 36.06,+19 15 40.1,15.9,,19.8,3,CSS100202:081936+191540,,Simbad,292
08 20 19.3700,+47 47 31.600,,J082019.4+474732,08 20 19.37,+47 47 31.6,17.2,,,2,CSS091213:082019+474732,,Simbad,293
08 21 23.7400,+45 41 35.300,,J082123.7+454135,08 21 23.74,+45 41 35.3,16.8,,20.0,1,CSS090224:082124+454135,II,Simbad,294
08 26 03.7200,+11 38 21.200,,J082603.7+113821,08 26 03.72,+11 38 21.2,15.1,,20.3,1,CSS110124:082604+113821,,Simbad,295
08 26 54.6800,-00 07 32.900,,J082654.7-000733,08 26 54.68,-00 07 32.9,16.9,,19.5,1,CSS080306:082655-000733,,Simbad,296
08 28 21.7500,+10 53 44.500,,J082821.8+105344,08 28 21.75,+10 53 44.5,16.5,,,1,CSS071231:082822+105344,,Simbad,297
08 36 18.9900,+21 21 05.000,,J083618.9+212105,08 36 18.99,+21 21 05.0,14.0,>,19.4,11,CC Cnc,,Simbad,298
08 37 50.9400,+38 30 13.000,,J083750.9+383013,08 37 50.94,+38 30 13.0,16.9,,18.9,1,J0837+3830,,Simbad,299
08 38 45.1900,+49 10 55.500,,J083845.2+491055,08 38 45.19,+49 10 55.5,14.5,,18.2,2,SDSS J083845.23+491055.5,I,Simbad,300
08 40 41.4500,+00 05 20.200,,J084041.5+000520,08 40 41.45,+00 05 20.2,18.6,,,1,CSS090331:084041+000520,,Simbad,301
08 41 08.1000,+10 25 36.600,,J084108.1+102537,08 41 08.10,+10 25 36.6,15.5,,19.6,1,SDSS J084108.10+102536.2,,Simbad,302
08 41 27.3700,+21 00 53.600,,J084127.4+210054,08 41 27.37,+21 00 53.6,15.6,,20.0,6,CSS090525:084127+210054,,Simbad,303
08 43 58.0600,+42 50 37.200,,J084358.1+425037,08 43 58.06,+42 50 37.2,15.4,,19.8,7,CSS080309:084358+425037,,Simbad,304
08 44 00.0900,+02 39 18.700,,J084400.0+023918,08 44 00.09,+02 39 18.7,14.3,,18.9,4,SDSS J084400+023919,,Simbad,305
08 44 13.6500,-01 28 07.200,,J084413.6-012807,08 44 13.65,-01 28 07.2,17.5,>,20.4,1,CSS090331:084414-012807,,Simbad,306
08 45 45.3400,-05 11 29.800,,J084545.3-051130,08 45 45.34,-05 11 29.8,17.7,,,2,CSS090201:084545-051130,,Simbad,307
08 45 55.0500,+03 39 29.300,,J084555.0+033929,08 45 55.05,+03 39 29.3,15.6,>,20.9,1,V0498 Hya,,Simbad,308
08 46 07.7300,+01 17 42.900,,J084607.7+011743,08 46 07.73,+01 17 42.9,18.1,,,1,CSS080202:084608+011743,,Simbad,309
08 47 02.4400,-15 41 58.200,,J084702.4-154158,08 47 02.44,-15 41 58.2,18.4,,,1,CSS120120:084702-154158,,Simbad,310
08 50 24.1600,-23 58 10.700,,J085024.2-235811,08 50 24.16,-23 58 10.7,16.2,,,1,SSS110407:085024-235811,,Simbad,311
08 51 07.4000,+03 08 34.500,,J085107.4+030834,08 51 07.40,+03 08 34.5,14.4,,18.3,5,CT Hya,,Simbad,312
08 51 13.4300,+34 44 48.700,,J085113.4+344449,08 51 13.43,+34 44 48.7,13.9,,19.7,5,CSS080401:085113+344449,,Simbad,313
08 52 19.4700,-08 17 29.500,,J085219.5-081730,08 52 19.47,-08 17 29.5,17.5,,,2,CSS100216:085219-081730,,Simbad,314
08 54 09.4100,+20 13 39.200,,J085409.4+201339,08 54 09.41,+20 13 39.2,16.9,,20.6,2,CSS080506:085409+201339,,Simbad,315
08 54 13.9600,+39 05 37.200,,J085414.0+390537,08 54 13.96,+39 05 37.2,16.1,,18.5,1,FR Lyn   I,,Simbad,316
08 56 03.7700,+32 21 09.200,,J085603.8+322109,08 56 03.77,+32 21 09.2,16.2,,19.9,2,CSS100508:085604+322109,,Simbad,317
08 56 06.8300,+12 38 36.600,,J085606.8+123837,08 56 06.83,+12 38 36.6,19.1,>,22.0,1,CSS100313:085607+123837,III,Simbad,318
08 57 09.6200,-03 20 28.800,,J085709.6-032029,08 57 09.62,-03 20 28.8,16.5,,,1,CSS110309:085710-032029,,Simbad,319
08 58 22.8600,-00 37 29.000,,J085822.9-003729,08 58 22.86,-00 37 29.0,17.2,,,3,CSS071112:085823-003729,,Simbad,320
08 59 12.4300,-11 06 47.900,,J085912.4-110648,08 59 12.43,-11 06 47.9,16.5,>,20.2,1,CSS090118:085912-110648,,Simbad,321
09 00 16.5500,+43 01 18.300,,J090016.5+430118,09 00 16.55,+43 01 18.3,14.1,,17.8,3,J0900+4301,,Simbad,322
09 00 16.6600,+34 39 27.500,,J090016.7+343928,09 00 16.66,+34 39 27.5,17.2,,19.8,1,CSS110512:090017+343928,,Simbad,323
09 00 26.2400,-09 26 48.900,,J090026.2-092649,09 00 26.24,-09 26 48.9,16.1,,20.6,1,CSS090118:090026-092649,,Simbad,324
09 02 10.2300,-11 30 31.500,,J090210.2-113032,09 02 10.23,-11 30 31.5,13.0,,17.4,2,CSS090201:090210-113032,,Simbad,325
09 02 39.4000,-06 27 19.600,,J090239.4-062720,09 02 39.40,-06 27 19.6,18.2,,,1,CSS120323:090239-062720,,Simbad,326
09 02 39.7000,+05 25 00.600,,J090239.7+052501,09 02 39.70,+05 25 00.6,16.2,,,2,CSS080304:090240+052501,,Simbad,327
09 03 50.7200,+33 00 36.100,,J090350.7+330036,09 03 50.72,+33 00 36.1,14.8,,18.9,1,J0903+3300,,Simbad,328
09 05 16.0500,+12 04 51.200,,J090516.0+120451,09 05 16.05,+12 04 51.2,15.9,,19.8,5,CSS091022:090516+120451,,Simbad,329
09 05 54.7400,-05 36 07.900,,J090554.7-053607,09 05 54.74,-05 36 07.9,15.1,,,8,V406 Hya,,Simbad,330
09 06 23.5200,-08 51 40.500,,J090623.5-085141,09 06 23.52,-08 51 40.5,16.7,,,1,CSS080307:090624-085141,,Simbad,331
09 06 28.2500,+05 26 56.900,,J090628.2+052657,09 06 28.25,+05 26 56.9,15.4,,18.2,3,SDSS J090628.25+052656.9,I,Simbad,332
09 08 52.1700,+07 16 40.000,,J090852.2+071640,09 08 52.17,+07 16 40.0,18.2,,,1,CSS110125:090852+071640,,Simbad,333
09 09 04.3800,+09 17 13.500,,J090904.4+091714,09 09 04.38,+09 17 13.5,16.6,,21.1,2,GUVV J090904.4+091714.4,,Simbad,334
09 09 50.5200,+18 49 47.100,,J090950.5+184947,09 09 50.52,+18 49 47.1,12.4,,15.9,5,GY Cnc,I,Simbad,335
09 11 47.0100,+31 51 02.000,,J091147.0+315102,09 11 47.01,+31 51 02.0,16.4,,19.8,2,SDSS J091147.02+315101.8,,Simbad,336
09 12 45.9400,-03 49 16.000,,J091245.9-034916,09 12 45.94,-03 49 16.0,14.8,,,1,CSS110114:091246-034916,,Simbad,337
09 14 53.5900,+11 34 01.800,,J091453.6+113402,09 14 53.59,+11 34 01.8,15.9,,,2,CSS081107:091454+113402,,Simbad,338
09 15 51.6800,+09 00 49.600,,J091551.6+090049,09 15 51.68,+09 00 49.6,12.8,,15.9,13,GZ Cnc,,Simbad,339
09 15 58.3600,-30 47 26.500,,J091558.4-304726,09 15 58.36,-30 47 26.5,17.2,,,1,SSS110406:091558-304726,,Simbad,340
09 16 34.6400,+13 03 57.800,,J091634.6+130358,09 16 34.64,+13 03 57.8,18.5,,21.5,5,CSS100313:091635+130358,,Simbad,341
