_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
09 16 50.7200,+28 49 43.300,,J091650.7+284943,09 16 50.72,+28 49 43.3,14.9,,18.1,1,HH Cnc,I,Simbad,342
09 19 36.5700,-05 55 18.900,,J091936.6-055519,09 19 36.57,-05 55 18.9,16.3,,21.3,4,CSS110114:091937-055519,III,Simbad,343
09 21 22.7900,+20 38 58.100,,J092122.8+203858,09 21 22.79,+20 38 58.1,17.4,,20.1,2,SDSS J092122.84+203857.1,I,Simbad,344
09 21 50.5300,-29 57 36.500,,J092150.5-295736,09 21 50.53,-29 57 36.5,16.0,,,1,SSS110515:092151-295737,,Simbad,345
09 22 48.7900,-04 24 26.200,,J092248.8-042426,09 22 48.79,-04 24 26.2,16.4,,19.7,3,CSS100414:092249-042426,,Simbad,346
09 28 39.3300,+00 59 44.800,,J092839.3+005945,09 28 39.33,+00 59 44.8,17.1,>,21.2,1,CSS110212:092839+005945,,Simbad,347
09 29 48.4500,-31 06 02.500,,J092948.4-310602,09 29 48.45,-31 06 02.5,17.9,,,1,SSS120111:092948-310602,,Simbad,348
09 29 52.1800,-32 01 02.700,,J092952.2-320103,09 29 52.18,-32 01 02.7,17.1,,,1,SSS110406:092952-320103,,Simbad,349
09 34 57.9800,-36 10 36.000,,J093458.0-361036,09 34 57.98,-36 10 36.0,17.9,,,1,SSS120213:093458-361036,,Simbad,350
09 39 59.4300,-20 32 48.400,,J093959.4-203248,09 39 59.43,-20 32 48.4,16.3,,19.1,1,SSS110627:093959-203248,,Simbad,351
09 41 58.5100,-25 07 05.000,,J094158.5-250705,09 41 58.51,-25 07 05.0,15.9,>,21.3,1,SSS110407:094159-250705,,Simbad,352
09 42 52.2800,-19 36 52.200,,J094252.3-193652,09 42 52.28,-19 36 52.2,15.2,,19.5,2,CSS090117:094252-193652,,Simbad,353
09 43 25.8800,+52 01 28.800,,J094325.8+520128,09 43 25.88,+52 01 28.8,16.1,,18.7,2,SDSS J094325+520128,,Simbad,354
09 43 27.2800,-27 20 38.500,X,J094327.3-272039,09 43 27.28,-27 20 38.5,13.0,,18.6,1,SSS111226:094327-272039,,Simbad,355
09 46 36.5700,+44 46 45.500,,J094636.5+444645,09 46 36.57,+44 46 45.5,14.3,,18.8,3,DV UMa,,Simbad,356
09 48 24.7900,+20 43 33.200,,J094824.9+204333,09 48 24.79,+20 43 33.2,18.5,,,1,CSS110501:094825+204333,III,Simbad,357
09 48 39.9500,-34 51 37.500,,J094840.0-345138,09 48 39.95,-34 51 37.5,14.3,,18.1,4,SSS100621:094840-345138,,Simbad,358
09 48 51.3200,-12 16 31.800,,J094851.3-121632,09 48 51.32,-12 16 31.8,16.3,>,21.3,1,CSS100219:094851-121632,,Simbad,359
09 48 53.9600,+01 49 10.800,,J094854.0+014911,09 48 53.96,+01 49 10.8,15.6,>,20.7,2,CSS120315:094854+014911,,Simbad,360
09 50 29.7400,-23 45 17.500,,J095029.7-234518,09 50 29.74,-23 45 17.5,14.4,,16.9,1,AG Hya,,Simbad,361
09 51 01.4600,+11 52 31.200,,J095101.5+115231,09 51 01.46,+11 52 31.2,12.4,,15.6,4,X Leo,,Simbad,362
09 53 08.2200,+14 58 36.600,,J095308.2+145837,09 53 08.22,+14 58 36.6,17.2,,19.1,1,RX J0953.1+1458,,Simbad,363
09 56 23.1000,-09 36 14.900,,J095623.1-093615,09 56 23.10,-09 36 14.9,16.3,,,1,CSS090430:095623-093615,,Simbad,364
09 56 51.9700,-33 12 16.100,,J095652.0-331216,09 56 51.97,-33 12 16.1,16.2,,18.3,1,SSS120111:095652-331216,,Simbad,365
09 58 58.5900,-28 21 53.800,,J095858.6-282154,09 58 58.59,-28 21 53.8,16.7,>,20.4,1,SSS100511:095859-282154,,Simbad,366
09 59 26.4500,-16 01 47.400,,J095926.4-160147,09 59 26.45,-16 01 47.4,14.5,,19.2,2,CSS110226:095926-160147,,Simbad,367
09 59 34.6000,-35 47 17.500,,J095934.6-354718,09 59 34.60,-35 47 17.5,17.5,,,2,SSS110223:095935-354718,,Simbad,368
10 00 29.7700,-17 28 52.300,,J100029.8-172852,10 00 29.77,-17 28 52.3,16.3,,,2,CSS090429:100030-172852,,Simbad,369
10 05 15.3700,+19 11 07.900,,J100515.4+191108,10 05 15.37,+19 11 07.9,12.7,,18.1,1,SDSS J100515.38+191107.9,I,Simbad,370
10 06 58.4000,+23 37 24.300,,J100658.4+233724,10 06 58.40,+23 37 24.3,15.1,,17.9,4,SDSS J100658.40+233724.4,I,Simbad,371
10 07 01.2000,-39 40 54.300,,J100701.2-394054,10 07 01.20,-39 40 54.3,18.8,,,1,SSS110429:100701-394054,,Simbad,372
10 07 01.4100,-39 39 08.000,,J100701.4-393908,10 07 01.41,-39 39 08.0,19.1,,,1,SSS100704:100701-393908,,Simbad,373
10 10 08.7600,-05 37 34.800,,J101008.8-053735,10 10 08.76,-05 37 34.8,15.0,,,2,SSS100518:101009-053735,,Simbad,374
10 10 31.1600,-09 38 10.800,,J101031.2-093811,10 10 31.16,-09 38 10.8,16.5,>,20.4,1,CSS110306:101031-093811,,Simbad,375
10 10 35.5000,+14 02 38.500,,J101035.5+140239,10 10 35.50,+14 02 38.5,17.1,,18.1,1,MLS110305:101036+140239,,Simbad,376
10 12 17.3500,-18 24 10.800,,J101217.3-182411,10 12 17.35,-18 24 10.8,17.5,,19.2,2,SSS110203:101217-182411,,Simbad,377
10 12 33.8600,+07 46 50.500,,J101233.9+074651,10 12 33.86,+07 46 50.5,15.2,,18.9,4,CSS110311:101234+074651,,Simbad,378
10 14 33.8600,-36 49 20.600,,J101433.9-364921,10 14 33.86,-36 49 20.6,17.0,,,1,SSS100704:101434-364921,,Simbad,379
10 15 45.8800,+03 33 11.800,,J101545.9+033312,10 15 45.88,+03 33 11.8,15.1,,17.5,1,CSS090429:101546+033312,,Simbad,380
10 18 53.5100,-40 06 43.500,,J101853.5-400644,10 18 53.51,-40 06 43.5,15.0,,18.6,2,SSS120320:101854-400644,,Simbad,381
10 19 47.2700,+33 57 54.200,,J101947.3+335754,10 19 47.27,+33 57 54.2,15.0,,18.0,1,AC LMi,I,Simbad,382
10 20 18.6100,-30 00 35.300,,J102018.6-300035,10 20 18.61,-30 00 35.3,19.4,,,1,SSS110628:102019-300035,,Simbad,383
10 20 26.5700,+53 04 33.200,,J102026.5+530433,10 20 26.57,+53 04 33.2,13.4,,16.5,3,KS UMa,,Simbad,384
10 20 42.1600,-33 50 02.400,,J102042.2-335002,10 20 42.16,-33 50 02.4,14.5,,17.2,2,SSS120215:102042-335002,,Simbad,385
10 20 53.8000,-45 17 32.900,,J102053.8-451733,10 20 53.80,-45 17 32.9,18.0,,,1,SSS120425:102054-451733,,Simbad,386
10 23 20.2900,+44 05 10.000,,J102320.3+440510,10 23 20.29,+44 05 10.0,15.0,,18.7,1,NSV 4838,I,Simbad,387
10 25 22.2100,-15 42 21.700,,J102522.2-154222,10 25 22.21,-15 42 21.7,12.7,,19.0,3,ASAS J102522-1542.4,,Simbad,388
10 25 44.9700,-09 25 15.100,,J102545.0-092515,10 25 44.97,-09 25 15.1,19.2,,,1,CSS110311:102545-092515,,Simbad,389
10 26 16.0400,+19 20 44.800,,J102616.0+192045,10 26 16.04,+19 20 44.8,14.8,,20.0,4,CSS101130:102616+192045,,Simbad,390
10 26 37.0400,+47 54 26.300,,J102637.0+475426,10 26 37.04,+47 54 26.3,14.8,,19.2,1,SDSS J102637.04+475426.3,,Simbad,391
10 27 05.8300,-43 43 41.300,,J102705.8-434341,10 27 05.83,-43 43 41.3,15.1,,18.5,2,SSS110314:102706-434341,,Simbad,392
10 28 42.8700,-08 19 26.600,,J102842.9-081927,10 28 42.87,-08 19 26.6,14.7,,18.2,6,CSS090331:102843-081927,VIII,Simbad,393
10 29 37.7100,+41 40 46.400,,J102937.7+414046,10 29 37.71,+41 40 46.4,16.9,,,5,CSS080305:102938+414046,,Simbad,394
10 31 09.0700,-35 01 50.300,,J103109.1-350150,10 31 09.07,-35 01 50.3,18.0,,,1,SSS110101:103109-350150,,Simbad,395
10 31 30.2100,-42 33 42.700,,J103130.2-423343,10 31 30.21,-42 33 42.7,16.8,,,1,SSS110405:103130-423343,,Simbad,396
10 31 47.9900,+08 52 24.500,,J103148.0+085224,10 31 47.99,+08 52 24.5,15.5,,18.3,7,SDSS J103147.99+085224.3,I,Simbad,397
10 33 17.2500,+07 21 18.700,,J103317.3+072119,10 33 17.25,+07 21 18.7,14.0,,19.4,2,CSS080208:103317+072119,,Simbad,398
10 35 49.6200,-42 46 09.800,,J103549.6-424610,10 35 49.62,-42 46 09.8,16.5,,,1,SSS110125:103550-424610,,Simbad,399
10 37 04.5900,+10 02 24.100,,J103704.6+100224,10 37 04.59,+10 02 24.1,21.6,,,2,MLS101214:103705+100224,,Simbad,400
10 37 38.6500,+12 42 50.200,,J103738.6+124250,10 37 38.65,+12 42 50.2,16.8,,21.3,2,CSS090516:103739+124250,,Simbad,401
10 39 46.9900,-05 06 57.900,,J103947.0-050658,10 39 46.99,-05 06 57.9,16.4,,20.2,4,YY Sex,XII,Simbad,402
10 40 51.2300,+15 11 33.800,,J104051.2+151134,10 40 51.23,+15 11 33.8,15.4,,17.1,5,DO Leo,I,Simbad,403
10 44 11.4300,+21 13 07.100,X,J104411.4+211307,10 44 11.43,+21 13 07.1,12.6,,19.4,2,CSS100217:104411+211307,,Simbad,404
10 45 32.1100,-32 03 35.000,,J104532.1-320335,10 45 32.11,-32 03 35.0,16.4,,,1,SSS101111:104532-320335,,Simbad,405
10 47 14.4200,-37 00 51.500,,J104714.4-370052,10 47 14.42,-37 00 51.5,17.1,,,2,SSS100708:104714-370052,,Simbad,406
10 47 32.1500,-46 37 26.800,,J104732.1-463727,10 47 32.15,-46 37 26.8,15.6,,18.9,1,SSS120119:104732-463727,,Simbad,407
10 51 22.8100,+67 25 27.800,,J105122.8+672528,10 51 22.81,+67 25 27.8,15.0,,18.5,1,CSS120101:105123+672528,,Simbad,408
10 52 15.2600,-06 43 26.500,,J105215.3-064326,10 52 15.26,-06 43 26.5,15.5,,19.0,3,CSS100408:105215-064326,,Simbad,409
10 54 42.3800,-31 20 46.100,,J105442.4-312046,10 54 42.38,-31 20 46.1,18.3,,,1,SSS110414:105442-312046,,Simbad,410
10 55 06.9900,+36 59 45.700,,J105507.0+365946,10 55 06.99,+36 59 45.7,17.3,,,2,EL UMa,,Simbad,411
10 55 50.0800,+09 56 20.500,,J105550.1+095621,10 55 50.08,+09 56 20.5,14.1,,17.8,4,CSS080130:105550+095621,I,Simbad,412
10 56 57.0700,+49 41 18.700,,J105657.1+494119,10 56 57.07,+49 41 18.7,12.7,,17.0,3,CY UMa,I,Simbad,413
10 56 58.2200,+39 42 39.100,,J105658.2+394239,10 56 58.22,+39 42 39.1,18.5,,19.6,6,CSS111229:105658+394239,,Simbad,414
10 58 35.0700,+05 47 06.400,,J105835.1+054706,10 58 35.07,+05 47 06.4,15.1,,20.4,1,CSS081025:105835+054706,,Simbad,415
10 58 43.4300,-43 32 33.200,,J105843.4-433233,10 58 43.43,-43 32 33.2,14.4,,19.7,1,SSS120509:105843-433233,,Simbad,416
11 00 14.7300,+13 15 52.100,,J110014.7+131552,11 00 14.73,+13 15 52.1,14.6,,18.8,5,SDSS J110014.72+131552.1,I,Simbad,417
11 02 59.0600,+41 45 21.500,,J110259.1+414522,11 02 59.06,+41 45 21.5,18.5,,,1,CSS101128:110259+414522,,Simbad,418
11 04 56.5600,-31 29 14.300,,J110456.6-312914,11 04 56.56,-31 29 14.3,15.5,,,1,SSS120514:110457-312914,,Simbad,419
11 07 03.0600,-43 31 45.900,,J110703.1-433146,11 07 03.06,-43 31 45.9,16.5,,20.3,2,SSS110528:110703-433146,,Simbad,420
11 09 37.5900,+50 39 29.200,,J110937.6+503929,11 09 37.59,+50 39 29.2,17.4,,,1,CSS120323:110938+503929,,Simbad,421
11 10 18.9600,-05 22 18.200,,J111019.0-052218,11 10 18.96,-05 22 18.2,15.4,,19.9,2,CSS090430:111019-052218,,Simbad,422
11 11 26.8700,+57 12 38.900,,J111126.9+571239,11 11 26.87,+57 12 38.9,15.7,,,1,CSS120422:111127+571239,VI,Simbad,423
11 14 42.7300,-42 35 37.200,,J111442.7-423537,11 14 42.73,-42 35 37.2,16.8,,,2,SSS110528:111443-423537,,Simbad,424
11 19 52.6400,-42 12 53.600,,J111952.6-421254,11 19 52.64,-42 12 53.6,17.2,,,1,SSS120323:111953-421254,,Simbad,425
11 22 53.3300,-11 10 37.200,,J112253.3-111037,11 22 53.33,-11 10 37.2,14.3,>,20.4,1,CSS100603:112253-111037,VII,Simbad,426
11 23 32.0400,+43 17 17.500,,J112332.0+431717,11 23 32.04,+43 17 17.5,16.4,,19.8,2,CSS090602:112332+431717,,Simbad,427
11 24 51.9000,-35 54 36.500,,J112451.9-355437,11 24 51.90,-35 54 36.5,11.9,,15.5,1,V0442 Cen,,Simbad,428
11 25 09.6800,+23 10 36.200,,J112509.7+231036,11 25 09.68,+23 10 36.2,15.9,,19.2,3,CSS110226:112510+231036,,Simbad,429
11 26 33.9800,-10 02 10.200,,J112634.0-100210,11 26 33.98,-10 02 10.2,16.0,,18.5,1,CSS080227:112634-100210,XIII,Simbad,430
11 26 44.0900,-38 28 43.800,,J112644.1-382844,11 26 44.09,-38 28 43.8,18.2,,,1,SSS110528:112644-382844,,Simbad,431
11 27 48.7300,-05 42 33.900,,J112748.7-054234,11 27 48.73,-05 42 33.9,17.8,,,7,CSS110225:112749-054234,,Simbad,432
11 28 15.3600,-34 48 07.400,,J112815.4-344807,11 28 15.36,-34 48 07.4,15.0,,18.8,2,SSS110327:112815-344807,,Simbad,433
11 30 33.2500,-49 22 06.100,,J113033.2-492206,11 30 33.25,-49 22 06.1,17.2,,,1,SSS120323:113033-492206,,Simbad,434
11 31 22.4000,+43 22 38.000,,J113122.4+432237,11 31 22.40,+43 22 38.0,13.0,,15.1,5,SDSS 113122,,Simbad,435
11 32 19.0000,-21 39 43.400,,J113219.0-213943,11 32 19.00,-21 39 43.4,15.5,>,20.8,1,SSS110509:113219-213943,,Simbad,436
11 37 08.6200,+51 34 50.900,,J113708.6+513451,11 37 08.62,+51 34 50.9,17.5,,19.8,2,ROTSE3 J113709.0+513451.1,,Simbad,437
11 39 09.7900,-42 00 45.000,,J113909.8-420045,11 39 09.79,-42 00 45.0,17.4,,,1,SSS110429:113910-420045,,Simbad,438
11 39 50.5900,+45 58 18.200,,J113950.6+455818,11 39 50.59,+45 58 18.2,15.2,,19.4,2,NSV 5285,,Simbad,439
11 41 58.9800,-13 42 03.400,,J114159.0-134203,11 41 58.98,-13 42 03.4,18.4,,,2,CSS100414:114159-134203,,Simbad,440
11 43 07.6900,-29 08 26.300,,J114307.7-290826,11 43 07.69,-29 08 26.3,17.6,,,1,SSS110723:114308-290826,,Simbad,441
11 45 21.1800,-04 26 05.900,,J114521.2-042606,11 45 21.18,-04 26 05.9,12.5,,16.1,4,TW Vir,,Simbad,442
11 46 38.5800,-41 35 44.700,,J114638.6-413545,11 46 38.58,-41 35 44.7,17.1,,,1,SSS120530:114639-413545,,Simbad,443
11 53 30.2300,+31 58 36.000,,J115330.2+315836,11 53 30.23,+31 58 36.0,17.4,,,5,CSS080201:115330+315836,,Simbad,444
11 59 03.8600,-06 58 41.600,,J115903.9-065842,11 59 03.86,-06 58 41.6,14.5,,18.6,2,CSS110116:115904-065842,,Simbad,445
12 00 52.9300,-15 26 20.300,,J120052.9-152620,12 00 52.93,-15 26 20.3,13.8,,18.7,3,CSS110205:120053-152620,,Simbad,446
12 04 47.0000,-36 40 31.400,,J120447.0-364031,12 04 47.00,-36 40 31.4,14.2,,,8,SSS120626:120447-364031,,Simbad,447
12 06 19.8400,-03 28 38.300,,J120619.8-032838,12 06 19.84,-03 28 38.3,16.6,,20.2,1,CSS120202:120620-032838,,Simbad,448
12 11 19.1400,-08 39 57.100,,J121119.1-083957,12 11 19.14,-08 39 57.1,14.8,,17.9,3,CSS110205:121119-083957,,Simbad,449
12 11 47.9500,-35 21 59.200,,J121148.0-352159,12 11 47.95,-35 21 59.2,15.4,,18.0,1,SSS120204:121148-352159,,Simbad,450
12 16 52.5500,-40 02 35.400,,J121652.5-400235,12 16 52.55,-40 02 35.4,17.4,,,1,SSS110313:121653-400235,,Simbad,451
12 18 10.5900,-42 16 22.500,,J121810.6-421622,12 18 10.59,-42 16 22.5,17.3,,,1,SSS120223:121811-421622,,Simbad,452
12 20 59.7700,-10 27 35.100,,J122059.8-102735,12 20 59.77,-10 27 35.1,16.5,,19.3,3,CSS080324:122060-102735,,Simbad,453
12 21 20.3400,-30 25 21.900,,J122120.3-302522,12 21 20.34,-30 25 21.9,16.3,>,21.8,1,SSS110622:122120-302522,,Simbad,454
12 24 43.2900,-41 01 58.500,,J122443.3-410158,12 24 43.29,-41 01 58.5,17.2,,19.0,1,SSS120215:122443-410158,,Simbad,455
12 27 40.8900,+51 39 25.300,,J122740.8+513925,12 27 40.89,+51 39 25.3,15.4,,18.8,4,J1227+5139,,Simbad,456
12 29 38.0100,-29 16 53.900,,J122938.0-291654,12 29 38.01,-29 16 53.9,16.7,,18.2,1,SSS120224:122938-291654,,Simbad,457
12 30 35.0800,-38 48 23.400,,J123035.1-384823,12 30 35.08,-38 48 23.4,15.7,>,20.2,1,SSS120322:123035-384823,,Simbad,458
12 38 33.6500,+03 18 54.400,,J123833.6+031854,12 38 33.65,+03 18 54.4,18.1,,21.3,1,CSS090615:123834+031854,,Simbad,459
12 40 27.4200,-15 05 58.100,,J124027.4-150558,12 40 27.42,-15 05 58.1,18.4,,,2,CSS071218:124027-150558,,Simbad,460
12 43 28.2700,-05 54 30.800,,J124328.3-055431,12 43 28.27,-05 54 30.8,19.4,,,1,GUVV J124328.2-055431.7,,Simbad,461
12 44 17.8800,+30 04 01.200,,J124417.9+300401,12 44 17.88,+30 04 01.2,15.0,,18.4,2,CSS080427:124418+300401,XIII,Simbad,462
12 45 07.7900,-38 13 22.100,,J124507.8-381322,12 45 07.79,-38 13 22.1,12.7,,17.9,3,SSS110525:124508-381322,,Simbad,463
12 46 02.0300,-20 23 02.400,,J124602.0-202302,12 46 02.03,-20 23 02.4,15.7,,18.1,3,WILS_SDSS J124602.02-202302.4,X,Simbad,464
12 47 19.0700,+01 38 43.100,,J124719.1+013843,12 47 19.07,+01 38 43.1,17.6,>,21.8,2,SDSS J124719.03+013842.6,,Simbad,465
12 48 19.3700,+07 20 49.900,,J124819.4+072050,12 48 19.37,+07 20 49.9,16.8,,21.0,1,SDSS J124819.36+072049.4,,Simbad,466
12 55 42.9000,-34 21 05.000,,J125542.9-342105,12 55 42.90,-34 21 05.0,14.9,,18.7,1,SSS120528:125543-342105,,Simbad,467
12 56 37.1300,+26 36 43.300,,J125637.1+263643,12 56 37.13,+26 36 43.3,13.7,,18.1,3,GO Com,,Simbad,468
12 59 00.8300,-13 34 41.700,,J125900.8-133442,12 59 00.83,-13 34 41.7,15.7,,20.3,1,SSS120721:125901-133442,,Simbad,469
12 59 05.7800,+24 26 34.400,,J125905.8+242634,12 59 05.78,+24 26 34.4,17.2,,,1,GUVV J125905.7+242632.9,,Simbad,470
12 59 19.8800,-05 56 01.300,,J125919.9-055601,12 59 19.88,-05 56 01.3,20.0,>,22.0,2,MLS120329:125920-055601,,Simbad,471
13 00 17.8600,-32 58 05.100,,J130017.9-325805,13 00 17.86,-32 58 05.1,15.7,>,21.7,2,SSS120318:130018-325805,,Simbad,472
13 00 24.3800,-07 17 47.000,,J130024.4-071747,13 00 24.38,-07 17 47.0,18.7,,21.5,3,CSS090417:130024-071747,,Simbad,473
13 00 30.3200,+11 51 01.400,,J130030.3+115101,13 00 30.32,+11 51 01.4,14.0,,19.7,1,CSS080702:130030+115101,,Simbad,474
13 05 14.7800,+58 28 55.500,,J130514.7+582855,13 05 14.78,+58 28 55.5,16.9,,20.5,3,SDSS J130514+582856,,Simbad,475
13 05 47.6900,-36 03 01.300,,J130547.7-360301,13 05 47.69,-36 03 01.3,16.6,,,1,SSS120814:130548-360301,,Simbad,476
13 07 55.1300,-20 26 28.200,,J130755.1-202628,13 07 55.13,-20 26 28.2,14.3,,18.4,1,CSS120304:130755-202628,,Simbad,477
13 10 28.6500,+32 20 43.700,,J131028.6+322043,13 10 28.65,+32 20 43.7,15.2,,18.4,1,AU CVn,,Simbad,478
13 10 42.6800,-04 26 00.500,,J131042.7-042600,13 10 42.68,-04 26 00.5,17.7,,20.6,1,CSS120313:131043-042600,,Simbad,479
13 11 03.5300,-41 46 22.000,,J131103.5-414622,13 11 03.53,-41 46 22.0,13.6,,,1,SSS110423:131104-414622,,Simbad,480
13 12 44.7200,-06 40 47.500,,J131244.7-064048,13 12 44.72,-06 40 47.5,20.7,,21.8,3,MLS100313:131245-064047,III,Simbad,481
13 15 14.3700,+42 47 46.900,,J131514.4+424747,13 15 14.37,+42 47 46.9,16.3,,18.6,1,CSS120317:131514+424747,,Simbad,482
13 16 25.6800,-15 13 13.500,,J131625.7-151313,13 16 25.68,-15 13 13.5,15.9,,,4,CSS080427:131626-151313,,Simbad,483
13 21 03.1800,+01 53 29.200,,J132103.2+015329,13 21 03.18,+01 53 29.2,14.1,,19.1,2,HV Vir,XI,Simbad,484
13 24 10.8600,-36 37 01.100,,J132410.9-363701,13 24 10.86,-36 37 01.1,17.4,>,20.6,1,SSS110403:132411-363701,,Simbad,485
13 25 36.0200,+21 00 37.000,,J132536.0+210037,13 25 36.02,+21 00 37.0,16.8,,19.9,1,CSS090102:132536+210037,,Simbad,486
13 29 00.9000,-36 58 58.600,,J132900.9-365859,13 29 00.90,-36 58 58.6,16.3,,,1,SSS110403:132901-365859,,Simbad,487
13 39 41.1600,+48 47 28.200,,J133941.1+484728,13 39 41.16,+48 47 28.2,15.1,,17.3,1,SDSS_133941,,Simbad,488
13 40 14.9200,-35 05 12.400,,J134014.9-350512,13 40 14.92,-35 05 12.4,15.9,,18.4,1,SSS120402:134015-350512,,Simbad,489
13 40 52.0600,+15 13 41.000,,J134052.1+151341,13 40 52.06,+15 13 41.0,14.5,,18.0,1,CSS100531:134052+151341,II,Simbad,490
13 43 05.6200,+52 08 43.400,,J134305.6+520843,13 43 05.62,+52 08 43.4,18.8,,,1,CSS110610:134306+520843,III,Simbad,491
13 43 29.7100,-20 32 34.700,,J134329.7-203235,13 43 29.71,-20 32 34.7,15.4,,21.5,1,SSS110509:134330-203235,,Simbad,492
13 44 28.7600,-21 29 25.800,,J134428.8-212926,13 44 28.76,-21 29 25.8,14.1,,18.0,1,CSS100414:134429-212926,,Simbad,493
13 44 47.2900,-09 11 18.400,,J134447.3-091118,13 44 47.29,-09 11 18.4,18.9,,,1,CSS100601:134447-091118,,Simbad,494
13 51 43.5200,-44 30 19.500,X,J135143.5-443020,13 51 43.52,-44 30 19.5,15.8,,,1,SSS120424:135144-443020,,Simbad,495
13 52 18.9800,+28 09 17.200,,J135219.0+280917,13 52 18.98,+28 09 17.2,17.2,,,2,CSS090705:135219+280917,,Simbad,496
13 54 18.8400,+27 36 03.000,,J135418.8+273603,13 54 18.84,+27 36 03.0,15.8,,,2,CSS120610:135419+273603,III,Simbad,497
13 54 48.6000,-31 06 49.900,,J135448.6-310650,13 54 48.60,-31 06 49.9,18.4,,,1,SSS120806:135449-310650,,Simbad,498
13 55 48.7400,-32 37 21.700,,J135548.7-323722,13 55 48.74,-32 37 21.7,17.5,,,3,SSS100618:135549-323722,,Simbad,499
13 57 16.8200,-09 32 38.500,,J135716.8-093238,13 57 16.82,-09 32 38.5,16.3,,21.6,1,110208:135717-093238,III,Simbad,500
13 59 15.2100,-39 14 51.500,X,J135915.2-391452,13 59 15.21,-39 14 51.5,14.0,,18.7,1,SSS110724:135915-391452,,Simbad,501
14 04 53.9800,-10 27 02.000,,J140454.0-102702,14 04 53.98,-10 27 02.0,15.0,,19.4,2,SEKBO 106646.2532,,Simbad,502
14 10 02.2100,-12 48 08.800,,J141002.2-124809,14 10 02.21,-12 48 08.8,16.1,,20.1,6,CSS080502:141002-124809,,Simbad,503
14 12 56.5500,-38 02 11.000,,J141256.6-380211,14 12 56.55,-38 02 11.0,17.5,>,20.6,1,SSS100512:141257-380211,,Simbad,504
14 15 17.8300,-35 27 44.100,,J141517.8-352744,14 15 17.83,-35 27 44.1,18.0,,,1,SSS110525:141518-352744,,Simbad,505
14 17 11.9800,-18 03 27.700,,J141712.0-180328,14 17 11.98,-18 03 27.7,15.1,,19.9,3,CSS080425:141712-180328,,Simbad,506
14 18 27.9300,-11 22 41.600,,J141827.9-112242,14 18 27.93,-11 22 41.6,18.8,,,1,MLS110102:141828-112242,,Simbad,507
14 18 49.5800,-24 33 04.900,,J141849.6-243305,14 18 49.58,-24 33 04.9,15.3,,19.9,2,SSS100717:141850-243305,,Simbad,508
14 20 21.3400,-37 20 38.700,,J142021.3-372039,14 20 21.34,-37 20 38.7,15.0,,19.0,2,SSS110327:142021-372039,,Simbad,509
14 25 48.0500,+15 15 01.800,,J142548.1+151502,14 25 48.05,+15 15 01.8,17.5,,,2,CSS110628:142548+151502,,Simbad,510
14 25 51.8100,-44 04 08.800,,J142551.8-440409,14 25 51.81,-44 04 08.8,15.7,,,1,SSS110704:142552-440409,,Simbad,511
14 27 14.3600,-38 31 13.900,,J142714.4-383114,14 27 14.36,-38 31 13.9,16.2,,,1,SSS120810:142714-383114,,Simbad,512
